Contenido,Título del vídeo,Hora de publicación del vídeo,Duración,Visualizaciones,Tiempo de visualización (horas),Suscriptores,Ingresos estimados (USD),Impresiones,Porcentaje de clics de las impresiones (%)
gRAOSnnrUfk,Cálculo de una función inversa del seno hiperbólico,"Oct 4, 2021",960,3961,220.3599,10,2.612,29369,7.34
VBismleOpZI,Demostración: Fórmula de integración por partes :🐮 Un día vi una vaca sin cola vestida de uniforme,"Oct 8, 2021",48,3317,26.7626,6,0.044,49303,2.49
NO72Ll-MxK4,Existencia del límite de una función de dos variables usando coordenadas polares,"Mar 23, 2023",903,3264,145.9676,12,1.855,33666,6.05
2Ym4InJ3qjs,n^2+n es par para todo n entero: demostración por casos,"Oct 25, 2021",457,3064,95.1159,10,1.271,13897,6.07
9WDqoYhq5QA,Multiplicadores de Lagrange con dos restricción,"Nov 30, 2021",1886,2912,94.546,6,1.129,19027,7.34
CqpQmvuQn2E,Aplicación de las integrales triples - masa de un cuerpo sólido,"Mar 10, 2022",1024,2708,119.5558,8,1.271,26677,6.96
feBQ0HQVhq4,Demostración de la existencia de un límite usando teorema de estricción y usando coordenadas polares,"Aug 27, 2023",2297,2608,199.461,16,1.2,32503,4.89
qaFS_JdAkdw,Teorema fundamental de las integrales de línea,"Feb 18, 2022",1644,2580,141.0908,6,1.418,16484,9.06
s3frLlndXk4,Encuentre el valor de  a y b tales que el limite exista y sea igual a 1,"May 14, 2023",548,2448,102.2427,7,1.921,13963,5.57
wItaB4IbUFY,Límites al infinito y asíntotas horizontales,"May 29, 2023",588,2411,108.0824,7,1.373,25296,6.69
apQTq5y1zBU,APLICACIÓN DEL TEOREMA DE ESTRICCIÓN (TEOREMA DEL SANDWICH),"Mar 29, 2020",213,2297,61.8908,10,0.53,19466,7
CoJUD3ull8k,"Ejercicio (Stewart, 7ma edición, Taller 5.3, ejercicio #3)","Oct 24, 2021",1579,2215,119.2245,15,0.779,23314,3.9
b7PnFEkkvmo,Demostración: El producto de cuales quiera dos números impares es un número impar,"Mar 6, 2023",212,2185,51.416,9,1.322,13850,7.16
PezsnlLNMcI,Ecuación del plano tangente en un punto a la gráfica de una función de dos variables.,"Sep 24, 2023",351,2061,61.8222,8,1.002,30750,4.35
YoxlBrL7310,Sustitución trigonométrica para integrales definidas,"Nov 22, 2021",536,1973,59.2929,4,0.495,20254,7.16
dE6Ju1upfB0,"Función parte entera y su gráfica, con visualización en GeoGebra","Jan 10, 2022",2370,1911,112.6376,8,0.827,11196,5.21
lajrTHu2gjc,Dominio de una función de dos variables: Unión e intersección,"Oct 19, 2021",1258,1836,106.3645,13,0.59,17458,3.8
7XdLAahVDL0,Transformación de funciones: con valor absoluto,"Oct 30, 2021",287,1802,43.3566,4,1.291,7903,9.6
5872eL6F4CI,Cálculo de dominios: Aplicando la ley del cementerio.,"Apr 3, 2022",1515,1799,131.6931,14,0.864,26427,3.13
QTRvldgFEIA,Derivadas de segundo orden para funciones de dos variables #1,"Nov 10, 2021",283,1661,30.4342,5,0.382,31437,2.64
 -TB53QjiZ9A,Integrales triples clase #2: Integrales triples sobre regiones generales,"Jan 24, 2022",3809,1642,146.4359,11,0.554,20279,4.23
GYSnJA57O_c,Dimensión de un subespacio de el espacio de polinomios P_2,"Dec 18, 2021",977,1629,64.8072,6,0.541,13140,8.13
x0MebvKwPW0,El operador derivada y el operador integral son transformaciones lineales,"Jan 11, 2022",846,1579,60.7348,12,0.645,10263,7.81
ruDCERj_llQ,Integral con propiedad de simetría en un minuto.,"Oct 7, 2021",41,1476,12.1307,3,0.017,29250,2.24
WSMidX_D-_o,Límite de una función de dos variables,"Oct 26, 2021",985,1368,76.4935,8,0.603,13392,5.68
fnK4qyLl22I,"El conjunto cociente  A/R es una partición de A, si R es una relación de equivalencia en A.","Dec 9, 2021",676,1363,49.7999,8,1.294,7042,8.04
k-9L_tS8cfw,Integrales dobles en coordenadas polares,"Jan 8, 2022",1406,1351,92.7464,6,0.328,25823,3.09
c70h9olUOh4,Antiderivadas - Teoría,"Oct 19, 2021",897,1337,48.0258,23,0.453,8077,4.51
7bbRC3CfXuY,Propiedad de simetría de las funciones trigonométricas,"Oct 29, 2021",621,1281,35.6175,1,0.782,5749,7.38
_3l8CeHJmOI,Integrales de línea de funciones escalares y de campos vectoriales a lo largo de una curva suave C,"Feb 9, 2022",2512,1231,61.6556,3,0.349,13232,5.95
l2sgZm9s4jI,Antiderivadas- Aplicación movimiento al rectilíneo uniforme,"Oct 19, 2021",1001,1189,53.4543,1,0.367,9393,7.29
hcI8jmLudt0,Relación de equivalencia y clases de equivalencias,"Dec 8, 2021",1297,1177,51.5294,10,0.813,10395,7.01
vyvHXVYKs10,Una propiedad interesante,"Sep 29, 2021",763,1095,30.4107,38,0.04,9049,2.75
W_t84CtD4R4,Máximos y Mínimos Absolutos: Método del intervalo cerrado,"Jan 26, 2023",638,1066,52.9056,8,0.587,9805,4.38
M27yeBl4_bQ,Álgebra de funciones,"Jan 7, 2022",1303,1043,65.8653,4,0.546,9128,4.92
PA19VNXnWFo,Regla de la cadena para demostrar una igualdad,"Nov 13, 2021",667,940,46.1216,5,0.219,11010,4.52
kiYNsuwCFWw,Cálculo de máximos y mínimos relativos y puntos sillas usando la prueba de la segunda derivada,"Sep 30, 2022",2479,938,83.9921,15,0.465,21872,2.07
bOKCyuNG2MI,Multiplicadores de Lagrange con una restricción,"Nov 29, 2021",1382,883,51.4696,4,0.555,11386,2.85
otKbvcD1upc,Dominio de una función compuesta con coseno inverso,"Oct 21, 2021",556,881,38.0569,5,0.02,7674,6.98
hOtIKt0UwUE,Integrales triples clase #1: Integrales triples sobre cajas rectangulares,"Jan 22, 2022",2638,873,83.4581,2,0.287,12887,3.26
46qzy7DeuzY,Suma de tres vectores geométricos y cálculo de su magnitud y dirección,"Sep 4, 2022",2348,856,74.4737,4,0.359,7063,3.03
CGjn-sQrA-E,"CALCULO I - SOLUCIÓN QUIZ #1 (2022-I): GRAFICA, DOMINIO Y RANGO DE FUNCIONES.","Apr 18, 2022",1348,847,69.8936,8,0.171,12017,2.36
gNanObs5S8g,Una ecuación diferencial de Bernoulli,"Apr 1, 2023",682,831,39.4021,2,0.784,8927,3.26
4AR5GMzdgO0,MÁXIMOS Y MÍNIMOS LOCALES,"Mar 29, 2020",354,816,26.6185,5,0.128,12745,3.06
I1pYV_pCMQs,P.V.I Método de separación de variables,"Nov 25, 2021",654,814,32.5676,5,0.358,14675,2.48
1JTVwHCuqzI,Aplicación del Teorema de Sandwich,"Nov 27, 2021",531,813,34.3336,0,0.291,6841,4.27
ms90_TIVQmk,Método de sustitución para integrales definidas,"Nov 1, 2021",1360,811,50.1083,1,0.304,8690,5.36
CnhXvVkcno8,La fórmula general o fórmula del bachiller,"Oct 3, 2021",582,805,27.495,7,0.47,3192,5.42
Hac79hWsZmk,CALCULO III - SOLUCIÓN QUIZ #1 (2022-I): DOMINIO Y GRÁFICA DE FUNCIONES DE DOS VARIABLES,"Apr 14, 2022",2091,803,53.64,8,0.157,27954,1.55
bfvlQcLz-4s,Solución por sustitución simple.,"Oct 16, 2021",42,785,8.4331,4,0.006,24799,1.49
HVs_bjkyMWo,Problema de Optimización: aplicación de las derivadas - Método del intervalo cerrado.,"Jan 28, 2023",984,781,51.7472,11,0.39,10377,3.39
h-TF7HlJZ90,Construcción del sólido en GoeGebra y cálculo de volumen con integrales dobles,"Dec 14, 2021",3411,779,97.0633,8,0.301,16081,1.5
i8R78uZi1Iw,"Límites laterales, continuidad y gráfica","May 16, 2023",894,765,36.2599,5,0.379,8229,2.13
rWZlb3KhkMU,Ejercicio #1 parcial #1 UNAL (Universidad Nacional de Colombia),"Feb 6, 2023",1289,764,37.0524,13,0.298,7106,3.28
Q00nBaHyXS8,Aplicación del Teorema fundamental del cálculo: Ejercicio #62 sec 5.3 Stewart 7ma ed pag 395,"Mar 30, 2023",452,762,22.6214,10,0.323,10501,3.68
nqlFe9h2W4M,Descomposición de un vector en  la dirección de dos vectores. Sección 1.4 ejercicio #12,"Sep 15, 2022",1025,755,53.9069,7,0.347,7317,4.09
bUEEubWGOR8,Aplicacion de sistemas de ecuaciones lineales - Ejercicio 5 sec 2.4 David Poole 3ra ed,"Sep 11, 2023",1508,718,48.8604,3,1.051,6850,2.53
z9qclT9OBFM,Derivada por definición de límite e interpretación como razón de cambio,"Dec 17, 2021",2564,711,59.0509,3,0.247,7149,4
scsiekq23a0,Cálculo de dominio y rango de funciones a partir de sus gráficas,"Dec 16, 2021",518,692,21.8803,15,0.148,4455,2.9
sbsZxAB99qg,Regla de L'Hôpital para calcular límite trigonométrico.,"Jan 29, 2023",418,686,24.2504,52,0.072,9705,3.1
XRqNZMlnXSg,Integrales triples clase #3: Integrales triples en coordenadas cilíndricas,"Feb 8, 2022",2754,682,51.2049,7,0.285,10404,2.71
XWqdkIVTF1A,Sistema de ecuaciones lineales con infinitas soluciones aplicando el método de Gauss-Jordan,"Sep 10, 2023",776,678,21.7816,1,0.413,4633,2.48
DK7r857VOgk,"Función a tramos: Gráfica, dominio, rango e intervalos de crecimiento/decrecimineto.","Mar 27, 2023",1534,677,55.5899,5,0.493,5809,2.08
CNtuUr5bAas,Límite de una función a tramos,"Nov 13, 2021",785,660,45.6364,5,0.214,4984,3.39
vK0nJPJnnbw,Demostración: Perímetro de una circunferencia como de la longitud de arco de una curva paramétrica,"Jan 25, 2022",744,640,27.3776,2,0.249,14266,2.58
lApEGQuBfcs,Contenido de mi canal - Solve Doubts,"Mar 1, 2024",37,627,5.1407,0,0.004,4239,0.68
r6-YqOwIEVc,Verificación de una solución  para una ecuación diferencial ordinaria,"Jan 13, 2022",1486,590,35.4412,13,0.303,5310,3.63
COXJGBxcBpc,Transformación de funciones Ejercicio #1,"Oct 30, 2021",420,588,22.5754,2,0.168,5007,4.47
bGX2MQOnvVk,Integral de cosecante en 30 segundos,"Jan 25, 2024",34,580,4.4221,2,0.013,8025,3.76
IHnUZ3z0Gy0,Integral de una función exponencial en 27 segundos,"Mar 27, 2024",27,567,2.4919,5,0.009,1496,0.94
qkm83ZQ3kmI,Aplicación del Teorema fundamental del cálculo -Ejercicio #5 Stewart 7ma ed pag 420.,"Mar 29, 2023",530,563,25.6264,5,0.386,7812,2.79
xwfw45xtG8U,Integrales dobles sobre rectángulos: aplicaciones,"Dec 12, 2021",882,556,26.7489,4,0.116,11153,2.3
a1zN_ef7Dcc,Una integral clásica.,"Oct 16, 2021",50,525,6.8059,3,0.005,11395,2.83
7MposPt1xts,Superficies: Graficas en 3D,"Apr 6, 2024",30,517,3.5647,0,0.02,3379,0.98
1tWT0qKeyTA,"Clase- Plano tangente, derivadas de orden superior y regla de la cadena-","Sep 27, 2023",7470,515,93.4281,3,0.603,13790,2.35
OSkn7ZWm1j8,Matriz involutiva de 2x2,"Dec 26, 2021",561,512,16.7949,3,0.114,7038,4.76
vPKqA2oomjA,Ejercicio #5 parcial #1 UNAL (Universidad Nacional de Colombia),"Feb 27, 2023",568,510,22.6595,10,0.241,6239,2.1
vmgvqhaoUd8,Máximos y mínimos relativos,"Nov 26, 2021",1481,506,44.8244,2,0.164,11189,1.94
k5btE7Bsyck,Mi canal de You Tube y mi contenido - Matemáticas para ciencias e ingenierías,"Feb 10, 2023",38,497,3.1369,6,0.055,3210,2.06
rDGaE5NORqs,Determinante e inversa de un matriz de 4x4,"May 15, 2023",2925,494,54.6493,1,0.401,7164,2.15
3f4fGHq7GMA,Integral aplicando el método de sustitución simple (Wolfram no la pudo resolver),"Oct 8, 2021",53,487,4.5424,2,0.003,15134,1.47
tXtA65A_ORI,Integral definida: solución utilizando dos métodos de integración.,"Feb 8, 2023",482,486,18.4291,51,0.138,8686,2.2
RjkdYQyD5p0,Aplicación de la ecuación de Bernoulli,"Dec 20, 2021",1296,484,36.9096,6,0.175,3859,3.84
1_dLH-ZtGoA,Integrales triples clase #4 Integrales triples en coordenadas esféricas,"Feb 11, 2022",2979,483,36.2105,6,0.198,9905,2.05
6A_Dq0wpKxc,Ejercicio #4 parcial #1 UNAL (Universidad Nacional de Colombia),"Feb 23, 2023",1659,469,41.329,8,0.111,7487,2.44
tWp4Qz8lK9g,Integrales dobles sobre regiones generales,"Dec 13, 2021",722,463,25.0112,3,0.072,11353,2
SGfRtOCoDyI,Dominio y rango,"Oct 23, 2021",510,457,24.8186,6,0.078,5636,2.93
ExEM2oHn5QE,Función impar,"Oct 7, 2021",504,449,24.41,1,0.054,3797,3.56
jHl-BqaPtl0,Ventana normanda: James Stewart 7ma ed Ejercicio 62 sección 1.1,"Sep 10, 2023",1220,448,32.8048,3,0.231,7008,2.9
2nhEroTAS2M,Ejercicio de aplicación de suma de vectores geométricos. Sección 1.2 ejercicio #3,"Sep 6, 2022",1080,445,34.0229,4,0.071,5629,2.08
S7Z5eNCuRp8,Solución sencilla con una maravillosa propiedad,"Oct 1, 2021",591,441,13.0926,9,0.064,3051,3.51
RJgdn0tsfXw,Una integral muy muy interesante,"Feb 18, 2023",952,430,27.2957,15,0.065,6291,2.42
SkKstWffl2w,Transitividad de la división de números enteros,"Nov 16, 2021",202,430,10.6473,1,0.104,2684,7.38
6XBLG-UWboM,Solución del PVI por el método de factor integrante--Ejercicio 9 sec2.2 pag 40 Boyce-Diprima,"Mar 20, 2023",858,430,31.2702,5,0.338,5806,2.39
sAFWjyeEZAc,Función longitud de arco con visualización en GeoGebra,"Jan 24, 2022",1279,421,26.9163,4,0.056,6783,2.39
Gd0bfdioF6s,Sustitución trigonométrica  parte 1,"Nov 22, 2021",2098,420,50.7925,1,0.117,3740,2.27
xTxh8e43bwM,Ecuación de una circunferencia con centro sobre el eje x,"Jan 6, 2022",899,416,28.1894,1,0.229,4617,6.11
j0h8VM6jYzc,"Máximos y mínimos relativos, estudio de crecimiento-decrecimiento, concavidad y puntos de inflexión","Jan 27, 2023",1164,409,32.3342,3,0.067,5817,2.46
Xe7lBecCCZs,Derivada infinita = recta vertical  tangente a un punto y visualización en GeoGebra,"Dec 11, 2021",1050,406,18.3034,3,0.203,3273,2.84
z50GSU7xE-g,Compuesta de funciones  teoría y ejemplos,"Jan 15, 2022",2013,395,41.2377,3,0.075,5828,2.71
UpbTzQPE-GA,SOLUCIÓN CON TRUCO,"Sep 27, 2021",251,393,10.4697,6,0.033,2976,3.83
R6NHJRKVcd0,Aplicación del Teorema Fundamental del Cálculo,"Nov 11, 2021",508,389,17.7044,3,0.106,3079,3.8
QVXA2OU3FJI,Integrales dobles sobre regiones generales- Clase-Cálculo en varias variables,"Oct 31, 2023",6451,379,73.9162,3,0.374,9216,1.78
FbPtwpV0u4Q,Combinación lineal de vectores de un conjunto de vactores del espacio de polinomios P_2,"Oct 7, 2023",511,378,14.5957,1,0.222,6645,2.65
LjaBoj_S9rE,LIMITES TRIGONOMÉTRICOS,"Mar 26, 2020",149,370,8.1168,0,0.012,2464,3.57
9xyMdmsJJkc,Integrales iteradas : caso especial,"Dec 8, 2021",674,363,17.5079,1,0.053,9439,1.38
2nJlffhBVfg,Límite trigonométrico usando una identidad,"Nov 25, 2021",874,362,23.1127,3,0.028,4079,2.3
ppsyI5qToj0,Ecuacion diferencial de primer orden exacta--Ejercicio 4 sec 2.4 Dennis Zill,"Oct 2, 2023",706,361,16.508,1,0.248,7541,2.71
u4Bgn3tn6Ug,"Ecuación diferencial de primer orden  homogénea - ejercicio # 8 sec 2,9 Boyce-Diprima 4ta ed","Apr 24, 2023",991,355,22.1125,1,0.279,6788,2.12
xa8DLZu32Sw,Solución del PVI por el método de Separación de variables--Ejercicio 25 sec 2.2 pag 50 Dennis Zill,"Mar 18, 2023",617,354,17.221,4,0.239,5840,2.4
jdgHcvhHKvU,Una integral muy interesante,"Feb 11, 2023",1282,350,22.468,44,0.096,7698,2.03
ah-PHobRvFM,Funciones senoidales,"Mar 29, 2024",34,348,2.7558,1,0.01,1480,0.68
lLY31TwZlaQ,¿Cuántas sustituciones se deben aplicar? ¿una o dos? ¿cuál es la forma correcta?,"Apr 11, 2022",406,347,9.451,2,0.024,9685,1.06
E5-X18uhYrM,Aplicación del Teorema del valor Medio,"Nov 30, 2021",1187,344,14.0898,0,0.117,3422,4.5
rSY2r0pPak4,Integración por partes: El maravilloso método de tabular,"Nov 21, 2021",515,338,12.4098,2,0.05,2905,2.58
ZF1qQVlFqSI,Integrales impropias Tipo I (intervalos infinitos),"May 27, 2024",988,338,15.7331,5,0.218,6650,2.57
AAXGwmPFYeE,Subespacio de R^3,"Nov 30, 2021",593,337,16.7356,2,0.087,4501,2.31
lhbDQWGcZBc,Integral impropia Tipo I,"Dec 7, 2021",784,335,19.7664,3,0.131,5431,2.39
MuIx4VPdmHo,Ejercicio #3 parcial #1 UNAL (Universidad Nacional de Colombia),"Mar 3, 2023",1157,329,24.281,5,0.106,6608,2.29
VQ52HdIoNUM,Integral sencilla sin usar métodos de integración,"Oct 21, 2021",403,326,11.5689,1,0.018,3838,4.09
w0-2jRbQeUY,Demostración sencilla de una desigualdad.,"Sep 27, 2021",203,325,7.1909,6,0.095,1710,4.8
JebhA_V6d9M,Una propiedad de valor absoluto.,"Oct 31, 2021",491,322,14.6654,1,0.071,3808,4.04
bstzOurwhCg,"Transformada y transformada inversa de Laplace, aplicación a la solución de P.V.I","Jun 23, 2023",6162,312,80.8514,2,0.17,6735,2.44
iwUjDrVR8Y0,Espacio columna Col (A)  y espacio fila row (A),"Dec 4, 2021",1089,310,20.2476,0,0.103,2774,4.9
ETYipucALt4,Vector unitario y múltiplo escalar. Sección 1.3 ejercicio #7,"Sep 7, 2022",876,309,17.3401,0,0.049,4695,2.34
7Ryu2sAesrE,"Desintegración radiactiva - ejercicio # 3 sec 2,5 Boyce-Diprima 4ta ed","Apr 2, 2023",1038,306,20.6871,1,0.208,8279,1.84
hMksLvrrTKM,"Ley del enfriamiento de Newton-solución ejercicio #14 sec 2,5 Boyce-Diprima 4ta ed","Mar 26, 2023",1145,302,29.9048,6,0.147,5551,2.31
h3yQ-qrueh4,"Geometría analítica con GoeGebra: Área, longitud, perímetro, punto medio y punto de intersección.","Jan 15, 2022",3724,300,54.586,1,0.076,9198,1.61
ANIS1GlApw8,Ejercicio #2 parcial #1 UNAL (Universidad Nacional de Colombia),"Mar 3, 2023",1113,299,19.3283,4,0.056,7346,2.14
EgwakbXkbaU,Antiderivadas - Ejemplo,"Oct 19, 2021",591,297,14.2641,0,0.036,4596,3.29
zVnruMK3zWU,SOLUCIÓN CON TRUCO,"Oct 5, 2021",498,293,16.0181,0,0.008,3200,2.34
e11yeX8lO3w,Integrales impropias Tipo II y Teorema de comparación para integrales impropias,"May 27, 2024",1671,289,15.0187,0,0.156,6696,2.4
lnokloADgAA,Fracciones parciales parte 1,"Dec 1, 2021",1756,279,22.2666,3,0.043,4073,2.46
2lWOpSL10XM,Límite trigonométrico,"Nov 25, 2021",390,273,12.8701,2,0.016,3019,2.42
7jbQunG3K0A,Aplicando el método de integración por partes y una sustitución necesaria.,"Feb 15, 2023",880,270,18.0838,17,0.064,5919,1.89
AnE3dtjMeOE,Fracciones parciales parte 2 (No es tan fácil como parece),"Dec 1, 2021",1540,263,22.9158,2,0.051,4272,3.14
75w7-Odj_b4,Composición de funciones,"Nov 12, 2021",601,258,12.908,1,0.039,3232,2.51
tpKJpvPGOp0,Superficie generada por revolución de una curva: La trompeta del Arcángel Gabriel:,"Dec 14, 2021",627,250,10.0583,0,0.044,4037,2.63
FwHXrPvJVFY,Razones trigonométricas en 45 segundos,"Mar 26, 2024",49,249,2.0242,2,0.006,1067,1.03
rVbtaHrgovw,"Stewart, Ejercicio 92  del Taller 5.5","Oct 27, 2021",1061,248,10.5637,2,0.032,2998,2.43
8NBTQ1K-EU8,Derivada Implícita en 25 segundos,"Jan 28, 2024",25,237,2.5348,3,0.004,9383,0.75
SVaqhOMRe84,"Aplicación de sistemas de ecuaciones lineales usando Gauss-Jordan: Edades de Carlos, Pedro y Juan.","Sep 2, 2023",495,236,10.0483,2,0.123,4023,1.64
MdmAh0MYAIA,Antiderivada ejercicio,"Oct 20, 2021",338,236,8.1099,1,0.038,3611,2.69
NJOd1RyMBLQ,Derivación: Regla de producto,"Jul 9, 2024",44,231,1.6303,1,0.006,4723,1.48
_cXcDJlcRuY,Método de sustitución simple: Teoría,"Nov 1, 2021",459,230,10.381,0,0.052,2801,2.18
Awpwm5YFpaQ,Ecuaciones y funciones lineales,"Dec 21, 2021",1214,223,20.5251,1,0.15,2519,2.7
TWn5qwcgXGg,Fracciones parciales parte 3,"Dec 2, 2021",1090,220,13.7413,0,0.151,2522,1.82
0DXUSC-Rhzk,"SUMA Y RESTA DE FRACCIONES ALGEBRAICAS  CON FACTORIZACIÓN Y M,C.M","May 16, 2022",1737,213,18.0936,3,0.03,4141,1.98
9VvtOfwfq-0,Clase de repaso-Volúmenes de sólidos de revolución-Métodos de discos y arandelas,"May 21, 2024",1461,208,13.7505,1,0.154,4468,1.81
 -Z82oqDUytQ,Sustitución trigonométrica parte 2,"Nov 23, 2021",1694,205,22.603,0,0.056,3437,2.12
y-raPHG4b9M,Una desigualdad maravillosa,"Dec 22, 2021",1347,204,23.7258,3,0.05,3769,1.8
RYrlEWsndeM,Demostración: raíz cuadrada de 2 es irracional.,"Dec 3, 2021",519,203,9.5382,1,0.034,2886,3.81
UQKPFbfHhH0,"Sucesiones clase #1: Definición de sucesión, ejemplos y sucesión recursiva (sucesión de Fibonacci)","Feb 8, 2022",3748,202,16.3401,2,0.015,4151,1.42
EggwWiBhDRw,Cálculo paso a paso de la Integral de tan(x),"Feb 27, 2025",79,201,2.1944,1,0.082,2115,2.03
cftaiLatL94,Geometría Analítica: rectas paralelas,"Dec 3, 2021",461,188,4.282,11,0.022,1766,3.34
jvPDbHsa9Ls,INTEGRAL: Aplicando método de sustitución simple dos veces.,"Oct 6, 2021",201,179,4.5741,1,0.002,1737,3.91
ChqogSej98o,Sólido de revolución respecto al eje y,"Dec 9, 2021",426,178,4.4881,2,0.025,2877,2.85
9qRFPpAVZNw,Una integral divertida con truco,"Nov 16, 2021",383,176,6.3843,0,0.048,2470,2.23
VVct78DU3sw,Una ecuación exponencial,"Jan 13, 2022",473,173,6.6773,2,0.014,2928,2.46
XqjR_fBoF-w,Derivada por regla del cociente,"Dec 10, 2021",921,170,13.0015,0,0.011,2816,1.99
fGTVOIeVLPY,Subespacio de R^2,"Dec 1, 2021",576,170,12.1088,4,0.016,2173,1.61
DOKgQqvBr2E,Una propiedad de los vectores geométricos.  Sección 1.2 ejercicio #6,"Sep 12, 2022",379,165,5.7367,8,0.021,4137,1.28
_cT7oQVVBDU,¿Es un Subespacio de R^3?,"Dec 23, 2021",338,165,6.7658,0,0.009,2816,1.99
Yokv7inJVTE,Aplicación del método de sustitución simple,"Nov 18, 2021",283,164,4.8337,1,0.004,2434,1.81
x3O6RPqsQpM,Simplificación con radicales.,"Dec 6, 2021",919,164,6.6767,0,0.011,4223,1.8
9ML2HNaQYCo,Solución de una  ecuación exponencial,"Jan 8, 2024",32,163,1.6583,0,0.002,1244,1.45
 -TR3MoYOokA,Volumen de un sólido de revolución,"Dec 5, 2021",992,158,9.2057,2,0.013,2139,1.82
lGO0YUvg1Nw,Pendiente y punto medio de una recta y longitud de un segmento de recta.,"Dec 23, 2021",1827,157,25.1471,0,0.024,3788,1.87
gFFrT8X9NGc,Área entre curvas,"Dec 13, 2021",1131,156,17.7037,0,0.026,3462,2.08
WX3RXIHVlEA,Método de sustitución -  Ejemplos,"Nov 1, 2021",1282,155,14.8348,2,0.018,1704,3.46
qlHd8eRC3g8,Ecuación diferencial de segundo orden por método de coeficientes indeterminados,"Dec 2, 2021",2185,151,20.936,0,0.021,2760,2.32
IbqSBj2cYUk,Solución simple,"Oct 2, 2021",735,150,7.9534,4,0.025,2651,2.15
k0Jnhg3Eom4,¿EXISTEN NÚMEROS PERFECTOS?,"Dec 25, 2021",284,145,3.5733,1,0.008,3230,1.15
JLhDInQJX-4,EJERCICIO #2 Pruebas SABER PRO,"Dec 16, 2021",664,135,6.8934,1,0.094,2330,3.09
I0mzLLx0cGA,Funciones cosenoidales,"Mar 31, 2024",34,118,1.8973,2,0.003,1123,1.16
L2lsWLq2bls,Área entre más de 2 curvas,"Dec 13, 2021",657,114,8.1692,2,0.035,2515,1.91
_d1Idu1yFuw,Rectas paralelas,"Dec 21, 2021",2172,114,25.3683,0,0.005,2653,2.11
pR2rE5ibjDE,Ejercicio #1 - Expresiones algebraicas,"Oct 23, 2021",616,114,7.2305,0,0.002,1388,2.02
